order_id,customer_id,order_date
1,1,2024-02-11
2,1,2024-07-27
3,2,2024-10-12
4,2,2024-05-10
5,2,2024-09-04
6,3,2024-09-24
7,3,2024-12-24
8,3,2024-02-21
9,3,2024-03-26
10,3,2024-01-20
11,3,2024-03-20
12,4,2024-03-09
13,4,2024-03-16
14,4,2024-01-19
15,4,2024-01-26
16,5,2024-06-10
17,5,2024-09-30
18,5,2024-05-15
19,5,2024-04-30
20,6,2024-01-09
21,6,2024-07-26
22,6,2024-10-17
23,7,2024-10-15
24,7,2024-01-22
25,7,2024-02-12
26,7,2024-10-11
27,7,2024-12-10
28,8,2024-07-06
29,8,2024-12-23
30,8,2024-04-15
31,8,2024-09-22
32,8,2024-06-02
33,9,2024-03-06
34,9,2024-09-07
35,10,2024-05-15
36,10,2024-10-18
37,10,2024-09-02
38,10,2024-04-14
39,11,2024-04-20
40,11,2024-02-13
41,11,2024-01-12
42,12,2024-01-03
43,12,2024-10-31
44,12,2024-03-27
45,12,2024-05-03
46,12,2024-07-10
47,12,2024-10-09
48,12,2024-02-05
49,13,2024-10-25
50,13,2024-06-25
51,13,2024-06-11
52,14,2024-11-21
53,14,2024-12-12
54,14,2024-06-09
55,14,2024-07-22
56,14,2024-04-11
57,14,2024-04-08
58,14,2024-03-22
59,15,2024-10-03
60,15,2024-07-07
61,15,2024-09-10
62,15,2024-04-05
63,16,2024-06-06
64,16,2024-04-03
65,17,2024-07-11
66,17,2024-03-19
67,18,2024-11-23
68,18,2024-04-14
69,18,2024-05-08
70,18,2024-11-25
71,19,2024-08-25
72,19,2024-11-08
73,20,2024-09-08
74,20,2024-06-05
75,20,2024-03-04
76,20,2024-06-01
77,20,2024-09-23
78,20,2024-09-03
79,20,2024-02-09
80,21,2024-12-04
81,21,2024-01-15
82,21,2024-01-21
83,21,2024-08-14
84,21,2024-10-01
85,21,2024-11-01
86,21,2024-04-26
87,22,2024-01-01
88,22,2024-09-04
89,22,2024-02-09
90,23,2024-10-20
91,23,2024-07-18
92,23,2024-05-24
93,23,2024-07-12
94,23,2024-09-19
95,23,2024-04-23
96,24,2024-07-09
97,24,2024-09-18
98,24,2024-01-13
99,24,2024-08-10
100,24,2024-03-27
101,25,2024-12-05
102,25,2024-05-17
103,25,2024-01-02
104,25,2024-03-21
105,25,2024-05-17
106,26,2024-11-13
107,26,2024-02-08
108,26,2024-06-04
109,27,2024-02-14
110,27,2024-05-13
111,27,2024-01-05
112,27,2024-05-17
113,27,2024-11-07
114,27,2024-08-22
115,27,2024-08-04
116,28,2024-12-18
117,28,2024-03-02
118,28,2024-11-22
119,29,2024-04-05
120,29,2024-06-21
121,30,2024-10-16
122,30,2024-10-03
123,30,2024-12-22
124,31,2024-11-10
125,31,2024-03-22
126,31,2024-08-10
127,31,2024-09-03
128,32,2024-09-07
129,32,2024-08-03
130,33,2024-07-01
131,33,2024-09-16
132,33,2024-09-30
133,34,2024-09-20
134,34,2024-10-10
135,34,2024-07-31
136,34,2024-01-24
137,34,2024-04-15
138,34,2024-05-06
139,34,2024-05-07
140,34,2024-08-12
141,35,2024-11-18
142,36,2024-06-18
143,36,2024-09-27
144,36,2024-08-26
145,36,2024-04-17
146,37,2024-06-06
147,37,2024-11-09
148,37,2024-02-03
149,37,2024-06-20
150,37,2024-01-04
151,38,2024-06-13
152,38,2024-06-10
153,38,2024-11-19
154,39,2024-03-20
155,39,2024-05-26
156,39,2024-09-15
157,39,2024-06-01
158,39,2024-05-07
159,39,2024-08-07
160,39,2024-01-17
161,40,2024-04-03
162,40,2024-03-01
163,40,2024-07-09
164,40,2024-03-05
165,40,2024-09-10
166,40,2024-08-31
167,40,2024-07-23
168,40,2024-12-14
169,41,2024-04-12
170,41,2024-05-21
171,41,2024-04-25
172,41,2024-04-27
173,42,2024-10-09
174,42,2024-02-09
175,42,2024-09-26
176,42,2024-03-27
177,42,2024-08-17
178,42,2024-06-08
179,42,2024-01-27
180,42,2024-01-18
181,43,2024-01-15
182,44,2024-06-06
183,44,2024-07-17
184,44,2024-04-16
185,44,2024-01-20
186,45,2024-01-18
187,45,2024-02-09
188,45,2024-06-10
189,45,2024-02-26
190,46,2024-04-19
191,46,2024-09-09
192,46,2024-12-08
193,46,2024-03-13
194,46,2024-05-20
195,46,2024-05-18
196,46,2024-05-20
197,46,2024-10-05
198,47,2024-10-21
199,47,2024-08-25
200,48,2024-08-12
201,49,2024-08-03
202,49,2024-11-08
203,49,2024-06-20
204,49,2024-07-17
205,49,2024-02-18
206,49,2024-02-09
207,49,2024-02-25
208,50,2024-06-19
209,50,2024-11-25
210,50,2024-10-03
211,50,2024-10-13
212,50,2024-11-15
213,50,2024-02-04
214,50,2024-12-03
215,51,2024-08-26
216,51,2024-03-22
217,51,2024-11-23
218,51,2024-05-21
219,51,2024-02-14
220,51,2024-09-23
221,52,2024-06-18
222,52,2024-06-18
223,52,2024-02-13
224,53,2024-12-03
225,53,2024-10-26
226,54,2024-04-08
227,54,2024-04-15
228,55,2024-08-07
229,55,2024-04-11
230,55,2024-02-03
231,55,2024-04-02
232,55,2024-12-24
233,55,2023-12-31
234,56,2024-02-29
235,57,2024-08-24
236,57,2024-12-22
237,58,2024-05-16
238,58,2024-10-03
239,58,2024-10-27
240,58,2024-04-02
241,59,2024-01-01
242,59,2024-07-22
243,59,2024-03-14
244,59,2024-10-06
245,59,2024-02-22
246,59,2024-10-17
247,59,2024-06-20
248,59,2024-09-22
249,60,2024-09-25
250,60,2024-09-18
251,60,2024-01-15
252,60,2024-01-03
253,60,2024-02-20
254,61,2024-06-23
255,61,2024-09-20
256,61,2024-01-15
257,61,2024-03-04
258,61,2024-08-18
259,61,2024-03-13
260,61,2024-03-26
261,62,2024-03-22
262,62,2024-12-06
263,62,2024-03-10
264,62,2024-05-04
265,62,2024-07-06
266,63,2024-04-10
267,63,2024-03-27
268,63,2024-05-25
269,63,2024-10-26
270,63,2024-08-04
271,63,2024-01-31
272,63,2024-09-26
273,64,2024-10-12
274,64,2024-05-09
275,64,2024-06-22
276,64,2024-02-29
277,64,2024-08-11
278,64,2024-03-23
279,64,2024-06-27
280,65,2024-08-14
281,65,2024-11-04
282,65,2024-02-10
283,65,2024-06-01
284,65,2024-04-15
285,65,2024-07-17
286,65,2024-03-14
287,66,2024-01-15
288,66,2024-08-13
289,66,2024-07-06
290,66,2024-03-04
291,66,2024-01-05
292,66,2024-10-31
293,66,2024-11-17
294,67,2024-12-18
295,67,2024-05-10
296,67,2024-06-06
297,67,2024-08-06
298,68,2024-11-06
299,68,2024-09-02
300,68,2024-08-17
301,68,2024-04-21
302,69,2024-03-20
303,69,2024-05-09
304,69,2024-07-12
305,69,2024-09-08
306,69,2024-01-01
307,70,2024-11-16
